title,price,price_per_unit,size,living_area,commercial_type,size_unit,address,land_type,house_type,property_legal_document,property_status,rooms,toilets,furnishing_sell,direction,balconydirection,floornumber,floors,block,pty_characteristics,width,length,apartment_feature
"Đất sổ hồng full thổ 498m2 đường Thạnh Lộc 47, Quận 12",36 tỷ,"72,29 triệu/m²",498 m²,,,m²,"Đường Thạnh Lộc 47, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Hẻm xe hơi,9 m,55 m,
"Bán đất 4x12M, HXH, 2 mặt tiền, Đường số 8, BHHB, Bình Tân","3,3 tỷ","68,75 triệu/m²",48 m²,,,m²,"Đường Số 8, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu
Thổ cư toàn bộ",4 m,12 m,
"Đất nền Hồ Tràm 128mv 1,25 tỷ","1,25 tỷ","9,77 triệu/m²",128 m²,,,,"Đường tỉnh 998, Xã Phước Thuận, Huyện Xuyên Mộc, Bà Rịa - Vũng Tàu",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,"Hẻm xe hơi
Mặt tiền
Thổ cư 1 phần",5 m,26 m,
"Đất tổ 39B , kp 11",550 triệu,"5,50 triệu/m²",100 m²,,,,"Huynh Văn Tien, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Đất nông nghiệp,,Sổ chung / công chứng vi bằng,,,,,Đông,,,,,Mặt tiền,5 m,20 m,
🔥CẮT LỖ 600 TRIỆU LÔ GÓC 86m2🔥 2 MẶT TIỀN NGUYỄN DUY TRINH/ GIÁ 3 TỶ x,"3,7 tỷ","43,02 triệu/m²",86 m²,,,m²,"Đường Nguyễn Duy Trinh, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Thổ cư toàn bộ",,,
Đất Khu Tái Định Cư Sân Golf Văn Mỹ,"7,2 tỷ",20 triệu/m²,360 m²,,,,"Văn Mỹ, Xã Hoàng Văn Thụ, Huyện Chương Mỹ, Hà Nội",Đất thổ cư,,Đã có sổ,,,,,,,,,Tái Định Cư Sân Golf,,15 m,24 m,
Chủ Kẹt Tiền Bán Nhanh,560 triệu,560.000 đ/m²,1000 m²,,,,"Đường Quốc lộ 13, Thị trấn Chơn Thành, Huyện Chơn Thành, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,10 m,100 m,
Đất sổ riêng .có sẵn nhà .cây ăn trái,580 triệu,"1,80 triệu/m²",323 m²,,,m²,"Tay Hòa 4, Xã Tây Hoà, Huyện Trảng Bom, Đồng Nai",Đất nông nghiệp,,Đã có sổ,,,,,Đông,,,,,"Hẻm xe hơi
Không có thổ cư",10 m,30 m,
BÁN LÔ ĐẤT 175m2 FULL THỔ CƯ- XÂY DỰNG TỰ DO,850 triệu,"4,86 triệu/m²",175 m²,,,,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,5 m,35 m,
Bán Gấp Lô Đất Tại 845 Nguyễn Bình Nhơn Đức 5 x 16 Sổ Riêng Đường 8m,"3,6 tỷ",45 triệu/m²,80 m²,,,m²,"Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Hẻm xe hơi,5 m,16 m,
"✅️ 72m đất - Ô tô tránh nhau - Cửa hàng mới, thị trấn Đông Anh(cũ)","7,2 tỷ",100 triệu/m²,72 m²,,,m²,"Uy Nỗ, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",4.5 m,16 m,
"3 LÔ ĐẤT VÀNG LIỀN KỀ – TRỤC CHÍNH AN SƠN, HÒA NINH 🔥","7,95 tỷ","17,32 triệu/m²",459 m²,,,,"Dt602, Xã Hòa Ninh, Huyện Hòa Vang, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,,18 m,25.5 m,
đất giá rẻ chỉ 500 triệu sổ riêng thổ cư hết đất 110m2,500 triệu,"4,55 triệu/m²",110 m²,,,,"Đường Trảng Bom, Xã Thanh Bình, Huyện Trảng Bom, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,Tây,,,,khu dân cư thanh binh sổ riêng thổ cư tại xã Thanh bình,"Hẻm xe hơi
Thổ cư toàn bộ",5 m,22 m,
"Bán gấp lô đất ngay trung tâm chợ Bàu Bàng, thổ cư 100%",700 triệu,"4,67 triệu/m²",150 m²,,,,"Đường Quốc lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",5 m,30 m,
Cập nhật giá bán đất nền dự án HUD-XDHN tháng 9/2025,"1,6 tỷ",16 triệu/m²,100 m²,,,,"Phước An, Xã Phước An, Huyện Nhơn Trạch, Đồng Nai",Đất nền dự án,,Đã có sổ,,,,,,,,,,,5 m,20 m,
"Đất đẹp - 155m2, nở hậu, ngay vành đai 3","1,8 tỷ","11,61 triệu/m²",155 m²,,,m²,"Đường Lý Thái Tổ, Xã Phú Thạnh, Huyện Nhơn Trạch, Đồng Nai",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Nở hậu
Chưa có thổ cư",,,
💥 Vài lô khu Tây An - Hoà Châu Ven Sông Cầu Đỏ,"1,3 tỷ",13 triệu/m²,100 m²,,,,"Tây An, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,Hẻm xe hơi,5 m,20 m,
Cần bán lô góc sổ sẵn ngay KCN Vsip2,800 triệu,"7,08 triệu/m²",113 m²,,,m²,"Đường tỉnh 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Mặt tiền
Thổ cư toàn bộ",5 m,21 m,
Ngộp bán gấp 2 nền Tp Pleiku Đường 20m,330 triệu,"2,29 triệu/m²",144 m²,,,,"Đường 20m, Xã Chư Á, Thành phố Pleiku, Gia Lai",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,Mặt tiền,5 m,28 m,
Mặt Tiền Trinh Đường sát Lê Trọng Tấn,"3,35 tỷ","41,88 triệu/m²",80 m²,,,,"Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Tây Nam,,,,,Mặt tiền,4 m,20 m,
1600m vườn có 350m thổ.Mặt tiền QL57B gần Chợ Tân Phú-Châu Thành-Btre,"9,35 tỷ","5,84 triệu/m²",1600 m²,,,,"Đường QL. 57B, Xã Tân Phú, Huyện Châu Thành, Bến Tre",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,"Mặt tiền
Thổ cư 1 phần",19 m,74 m,
"Cần bán lô đất 232m2, giá 1,5 tỷ Đ.Suối Lội, Tân An Hội, sổ hồng riêng","1,5 tỷ","6,47 triệu/m²",232 m²,,,m²,"Đường Suối Lội, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư 1 phần",7 m,33 m,
• BÁN ĐẤT TẶNG NHÀ,490 triệu,"1,63 triệu/m²",300 m²,,,,"Đường Quốc lộ 13, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,10 m,30 m,
Đất 540m Có thổ cư(15*36).Mặt tiền QL57B xã Tân Phú-Châu Thành-Btre,"3,5 tỷ","6,48 triệu/m²",540 m²,,,,"Đường QL. 57B, Xã Tân Phú, Huyện Châu Thành, Bến Tre",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,"Mặt tiền
Thổ cư 1 phần",15 m,36 m,
Đất Mtkd đường xã ngay chợ Tân Phú-Châu Thành-Btre,"1,35 tỷ",9 triệu/m²,150 m²,,,,"Đường QL. 57B, Xã Tân Phú, Huyện Châu Thành, Bến Tre",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,30 m,
Bán mảnh đất đã có sổ trong hình .,497 triệu,"1,62 triệu/m²",306 m²,,,,"Đường Vườn Thơm, Xã Bình Lợi, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,,,,
⏩️ Hàng đẹp Hòa Xuân - đường 7.5m - Diện tích : 5x20m,"4,75 tỷ","47,50 triệu/m²",100 m²,,,m²,"Cẩm Nam, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,20 m,
"Đất sổ hồng, 88.4m2, Lê Hữu Kiều, Bình Trưng Tây, TP Thủ Đức",13 tỷ,"147,06 triệu/m²",88.4 m²,,,,"Đường Lê Hữu Kiều, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất nền dự án,,Đã có sổ,,,,,Đông,,,,Tuổi Trẻ - Thế Kỷ 21,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",5.2 m,17 m,
Bán lô đất diện tích lớn quy hoạch thổ cư Long Thuận Tp. Thủ Đức,"3,25 tỷ","16,25 triệu/m²",200 m²,,,m²,"long thuận, Phường Long Phước (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Thổ cư toàn bộ",10 m,20 m,
mặt tiền kinh doanh đi sân bay 165m tại dầu giây,"1,2 tỷ","7,27 triệu/m²",165 m²,,,,"Đường tỉnh 769, Xã Hưng Lộc, Huyện Thống Nhất, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,Tây,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu
Thổ cư toàn bộ",,,
Đất mặt tiền đường 74m Vành Đai 4 - sổ sẵn công chứng ngay,"1,4 tỷ","9,33 triệu/m²",150 m²,,,m²,"Vành Đai 4, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,30 m,
Đất mặt tiền T2. Sân bay Long Thành,"21,675 tỷ","5,50 triệu/m²",3941 m²,,,m²,"Đường T2, Xã Long An, Huyện Long Thành, Đồng Nai",Đất nông nghiệp,,Đã có sổ,,,,,,,,,,Mặt tiền,60 m,66 m,
Lô đất MT đường Ba Sa 5x30 vị trí đẹp đầu tư giá 750tr,750 triệu,5 triệu/m²,150 m²,,,m²,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,30 m,
Đất Vườn Cần Bán,510 triệu,453.333 đ/m²,1125 m²,,,,"Big C Đồng Nai, Xã Vĩnh Thanh, Huyện Nhơn Trạch, Đồng Nai",Đất nông nghiệp,,Đã có sổ,,,,,,,,,Đất Ngộp,Mặt tiền,10 m,115 m,
"Cần bán gấp 700m2 đất ngay UBND Trảng Bàng, SHR, giá chỉ 500 triệu.",500 triệu,714.285 đ/m²,700 m²,,,m²,"Gia Long, Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu",10 m,70 m,
"Bán đất Huỳnh Thị Bằng, Phú Hòa Đông 5x17m – Giá rẻ chỉ 770tr – SHR",770 triệu,"9,06 triệu/m²",85 m²,,,m²,"Đường Huỳnh Thị Bẳng, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,5 m,17 m,
